ID Easting Northing Altitude Retro Angle Distance UTC Long Lat
28335265 753928.998 3753117.246 296.501 0.275 0.00645 13.709 62638.64555 -84.254301899 33.887869226
28335266 753928.977 3753117.295 296.361 0.839 -0.00383 13.657 62638.64559 -84.254302116 33.887869672
28335365 753929.011 3753117.442 297.87 0.376 0.10927 13.285 62638.65854 -84.254301703 33.887870985
28335366 753928.992 3753117.486 297.729 0.847 0.09899 13.224 62638.65857 -84.254301897 33.887871389
28335367 753929.013 3753117.45 297.596 0.835 0.08870 13.256 62638.65860 -84.254301681 33.887871056
28335368 753929.026 3753117.43 297.461 0.859 0.07842 13.270 62638.65864 -84.254301547 33.887870871
28335369 753929.028 3753117.431 297.324 0.859 0.06814 13.261 62638.65867 -84.254301525 33.887870887
28335370 753929.041 3753117.411 297.189 0.847 0.05786 13.278 62638.65870 -84.254301391 33.887870702
28335371 753929.04 3753117.418 297.052 0.859 0.04758 13.266 62638.65873 -84.254301395 33.887870765
28335372 753929.07 3753117.364 296.917 0.259 0.03729 13.323 62638.65877 -84.254301090 33.887870274
28335373 753929.063 3753117.385 296.779 0.235 0.02701 13.299 62638.65880 -84.254301162 33.887870458
28335374 753929.071 3753117.374 296.643 0.212 0.01673 13.311 62638.65883 -84.254301076 33.887870359
28335375 753929.091 3753117.34 296.505 0.255 0.00645 13.350 62638.65887 -84.254300872 33.887870050
28335376 753929.078 3753117.372 296.369 0.847 -0.00383 13.317 62638.65890 -84.254301004 33.887870342
28335473 753929.095 3753117.555 297.837 0.741 0.10936 12.904 62638.67185 -84.254300766 33.887871980
28335474 753929.101 3753117.547 297.704 0.843 0.09908 12.901 62638.67188 -84.254300699 33.887871915
28335475 753929.108 3753117.54 297.572 0.820 0.08880 12.901 62638.67191 -84.254300630 33.887871844
28335476 753929.12 3753117.521 297.44 0.855 0.07852 12.914 62638.67195 -84.254300501 33.887871669
28335477 753929.133 3753117.501 297.309 0.757 0.06824 12.929 62638.67198 -84.254300372 33.887871490
28335478 753929.135 3753117.503 297.176 0.776 0.05796 12.922 62638.67201 -84.254300348 33.887871502
