Sign_Id,Easting,Northing,Altitude,Retro,Long,Lat,Num_of_Points
99,743885.9157826086,3755308.252891304,329.96428260869567,0.7943043478260872,-84.36218524236956,33.90998069515218,46
100,743886.0480754717,3755308.2604905665,328.1597735849056,0.7989622641509434,-84.3621838101132,33.909980733811324,53
101,743886.1793035715,3755308.2410357143,326.45910714285714,0.7993928571428572,-84.3621823975357,33.90998052725,56
102,744051.1724901962,3755335.442058824,321.4438431372549,0.7540784313725492,-84.3603919681765,33.91018737423529,51
103,744303.0764705883,3755445.5455490197,323.0155980392157,0.7795000000000002,-84.3576393297549,33.911120940911765,102
104,744303.1290206185,3755445.6167835053,321.1990103092784,0.7810618556701031,-84.3576387424433,33.91112157,97
105,744303.4056666667,3755445.325121212,319.898,0.751969696969697,-84.35763583415151,33.91111887848486,33
106,744301.7355322582,3755447.7093870966,320.3461370967742,0.7796935483870968,-84.3576532180887,33.9111407465242,124
107,744301.6414503817,3755447.605641221,323.0182748091603,0.7966717557251909,-84.35765426350382,33.91113983387786,131
108,744301.8453818181,3755447.4270545454,321.6370181818181,0.7977454545454545,-84.3576521088909,33.911138177454546,55
109,744301.0302727273,3755448.658090909,321.63540909090915,0.8017272727272728,-84.35766057436363,33.91114945777272,22
110,744711.1860784316,3755666.9010392153,307.62333333333333,0.7478039215686274,-84.35316768298041,33.91302047143137,51
111,744711.0677142858,3755667.1395306117,306.0407755102041,0.738204081632653,-84.35316889563266,33.913022646959185,49
112,744710.0293818179,3755669.019872728,307.5700727272727,0.7421272727272729,-84.35317959158183,33.91303982878181,55
113,744710.0597027026,3755668.9974864866,305.75005405405403,0.7406756756756757,-84.35317927189189,33.9130396202973,37
114,744769.0796060606,3755699.6531515154,304.80796969696974,0.7769090909090909,-84.35253295321213,33.91330209299999,33
115,745082.8062444445,3755826.6878222222,298.6596222222222,0.7578444444444444,-84.3491073476889,33.91437362622223,45
116,745082.7784,3755826.761844444,296.9394666666667,0.7515111111111112,-84.34910762702222,33.91437429975555,45
117,745081.9243600001,3755828.6575400005,298.69876,0.75642,-84.34911632732,33.91439157774,50
118,745081.9275531914,3755828.698319149,296.9515106382979,0.762531914893617,-84.34911628172341,33.91439194453192,47
119,745146.3926428572,3755855.1222499995,295.0290357142857,0.7821071428571429,-84.34841228325,33.91461500121428,28
120,745202.4920769229,3755878.441538461,293.1146153846154,0.7654615384615384,-84.34779954796156,33.91481203192308,26
121,745211.912631579,3755883.779447369,293.85552631578946,0.7799736842105264,-84.34769625665791,33.91485792871054,38
122,745224.2615272726,3755895.350927273,299.9180272727273,0.7880636363636363,-84.34755957961818,33.914959304063636,110
123,745224.3940714287,3755895.4834553567,298.0153660714286,0.8108839285714285,-84.34755811030358,33.91496046788393,112
124,745223.5856338028,3755897.6739507043,297.6537816901408,0.8188028169014084,-84.34756623461972,33.914980390795776,142
125,745223.5538425925,3755897.255407408,299.6525740740741,0.782,-84.34756669507405,33.914976627592594,108
126,745223.7877391304,3755896.941478261,298.59595652173914,0.8057391304347826,-84.34756425404348,33.914973745391315,23
127,745222.7972580644,3755899.2333612903,299.125264516129,0.7755935483870967,-84.34757431865806,33.91499462365807,155
128,745222.9138189654,3755899.3959741383,297.44772413793106,0.8105,-84.34757301374137,33.91499606174138,116
129,745475.3794193548,3755989.698225807,294.20335483870963,0.7534193548387097,-84.344819565,33.91575079983871,31
130,745521.4196458332,3756002.534104167,294.85875000000004,0.7555,-84.34431844979167,33.91585570827083,48
131,745520.7391041666,3756004.478270834,294.8213333333333,0.7658541666666666,-84.3443252619375,33.91587338295833,48
132,745538.328490196,3756011.0959019614,297.11382352941183,0.7684901960784315,-84.34413333333332,33.91592890166667,51
133,745538.3103,3756011.10494,295.49396,0.77414,-84.34413352744,33.915928988100006,50
134,745537.60821875,3756013.0474843746,297.06449999999995,0.77984375,-84.34414057125,33.91594665296875,64
135,745537.5971718751,3756013.07175,295.25865624999994,0.78896875,-84.34414068367187,33.91594687303125,64
136,745666.3921830066,3756074.1799999997,304.3233856209151,0.7722156862745098,-84.34273178284315,33.91646737598693,153
137,745666.4620949368,3756074.357544303,302.3855253164557,0.8027974683544304,-84.34273097766456,33.91646895874051,158
138,745666.5904714285,3756074.3750571427,300.60217142857147,0.8307714285714285,-84.34272958577144,33.916469086549995,140
139,745665.586532258,3756076.0400887104,304.0536129032258,0.7531290322580645,-84.3427399682742,33.916484321572575,124
140,745665.6009833333,3756076.339133333,302.3040388888889,0.7802444444444445,-84.34273972843334,33.91648701281111,180
141,745665.685554945,3756076.474236264,300.56840659340656,0.8074835164835165,-84.34273877699451,33.91648821015934,182
142,745665.1027241378,3756077.522,303.2605172413793,0.7187758620689656,-84.3427447812931,33.916497786224134,58
143,745665.0319133333,3756078.0459999996,301.40806000000003,0.7441799999999998,-84.34274540059334,33.916502523026665,150
144,745665.0643333333,3756078.1899569887,300.14562365591405,0.7665161290322581,-84.34274500975269,33.91650381262366,93
145,745714.6514687501,3756080.8039375003,296.87953125,0.74165625,-84.3422084209375,33.91651579175,32
