Sign_ID,ID,Easting,Northing,Altitude,Retro,Angle,Distance,UTC,Long,Lat
0,28242815,753619.464,3753377.376,291.933,0.051,-0.03471,30.862,62622.06867,-84.25757044,33.89028718
0,28242882,753619.496,3753377.391,296.355,0.11,0.10936,30.652,62622.08153,-84.25757009,33.89028731
0,28242883,753619.511,3753377.375,296.04,0.082,0.09907,30.645,62622.08156,-84.25756993,33.89028716
0,28242884,753619.472,3753377.465,295.717,0.063,0.08878,30.523,62622.08159,-84.25757032,33.89028798
0,28242885,753619.552,3753377.322,295.412,0.106,0.07849,30.666,62622.08162,-84.2575695,33.89028667
0,28242886,753619.572,3753377.296,295.098,0.149,0.0682,30.679,62622.08166,-84.2575693,33.89028644
0,28242887,753619.579,3753377.297,294.782,0.753,0.05791,30.667,62622.08169,-84.25756922,33.89028644
0,28242888,753619.576,3753377.317,294.466,0.808,0.04762,30.636,62622.08172,-84.25756925,33.89028662
0,28242889,753619.576,3753377.329,294.151,0.808,0.03733,30.617,62622.08175,-84.25756924,33.89028673
0,28242890,753619.598,3753377.301,293.836,0.843,0.02704,30.646,62622.08179,-84.25756901,33.89028648
0,28242891,753619.603,3753377.304,293.52,0.816,0.01674,30.644,62622.08182,-84.25756895,33.8902865
0,28242892,753619.605,3753377.315,293.205,0.761,0.00645,30.637,62622.08185,-84.25756893,33.8902866
0,28242893,753619.608,3753377.324,292.89,0.176,-0.00384,30.634,62622.08189,-84.2575689,33.89028668
0,28242894,753619.644,3753377.267,292.573,0.137,-0.01413,30.709,62622.08192,-84.25756853,33.89028616
0,28242895,753619.624,3753377.319,292.259,0.082,-0.02442,30.665,62622.08195,-84.25756872,33.89028663
0,28242963,753619.565,3753377.53,296.322,0.122,0.10946,30.252,62622.09484,-84.2575693,33.89028854
0,28242964,753619.595,3753377.484,296.014,0.067,0.09917,30.279,62622.09487,-84.25756899,33.89028812
0,28242965,753619.695,3753377.3,295.716,0.122,0.08888,30.464,62622.0949,-84.25756797,33.89028645
0,28242966,753619.658,3753377.387,295.396,0.11,0.07859,30.35,62622.09493,-84.25756834,33.89028723
0,28242967,753619.641,3753377.434,295.081,0.165,0.0683,30.282,62622.09497,-84.2575685,33.89028766
0,28242968,753619.678,3753377.375,294.772,0.741,0.05801,30.336,62622.095,-84.25756813,33.89028713
0,28242969,753619.675,3753377.395,294.459,0.812,0.04772,30.306,62622.09503,-84.25756815,33.8902873
0,28242970,753619.683,3753377.393,294.148,0.804,0.03743,30.303,62622.09506,-84.25756807,33.89028728
0,28242971,753619.684,3753377.406,293.836,0.824,0.02714,30.286,62622.0951,-84.25756806,33.8902874
0,28242972,753619.692,3753377.402,293.524,0.812,0.01685,30.291,62622.09513,-84.25756796,33.89028737
0,28242973,753619.68,3753377.441,293.213,0.749,0.00655,30.252,62622.09516,-84.25756809,33.89028772
0,28242974,753619.719,3753377.378,292.9,0.165,-0.00374,30.33,62622.0952,-84.25756769,33.89028714
0,28242975,753619.726,3753377.378,292.588,0.125,-0.01403,30.341,62622.09523,-84.25756761,33.89028714
0,28242976,753619.734,3753377.376,292.275,0.094,-0.02432,30.357,62622.09526,-84.25756753,33.89028712
0,28242977,753619.727,3753377.402,291.964,0.043,-0.03461,30.345,62622.09529,-84.25756759,33.89028736
0,28243043,753619.647,3753377.631,296.595,0.133,0.11965,29.922,62622.10811,-84.25756839,33.89028944
0,28243044,753619.676,3753377.587,296.29,0.122,0.10936,29.944,62622.10814,-84.25756809,33.89028903
0,28243045,753619.723,3753377.508,295.989,0.067,0.09907,30.009,62622.10818,-84.25756761,33.89028831
0,28243046,753619.783,3753377.401,295.688,0.09,0.08878,30.108,62622.10821,-84.25756698,33.89028734
0,28243047,753619.773,3753377.434,295.375,0.133,0.07849,30.053,62622.10824,-84.25756708,33.89028764
0,28243048,753619.763,3753377.469,295.064,0.176,0.0682,29.999,62622.10828,-84.25756718,33.89028795
0,28243049,753619.772,3753377.465,294.755,0.78,0.05791,29.992,62622.10831,-84.25756709,33.89028791
0,28243050,753619.776,3753377.471,294.447,0.824,0.04762,29.977,62622.10834,-84.25756704,33.89028797
0,28243051,753619.776,3753377.484,294.138,0.824,0.03733,29.958,62622.10837,-84.25756703,33.89028808
0,28243052,753619.783,3753377.484,293.83,0.835,0.02703,29.955,62622.10841,-84.25756696,33.89028808
0,28243053,753619.789,3753377.486,293.521,0.831,0.01674,29.954,62622.10844,-84.2575669,33.8902881
0,28243054,753619.789,3753377.499,293.213,0.765,0.00645,29.944,62622.10847,-84.25756689,33.89028821
0,28243055,753619.823,3753377.445,292.904,0.169,-0.00384,30.012,62622.1085,-84.25756654,33.89028772
0,28243056,753619.832,3753377.442,292.595,0.114,-0.01413,30.026,62622.10854,-84.25756645,33.89028769
0,28243057,753619.887,3753377.347,292.281,0.09,-0.02442,30.147,62622.10857,-84.25756588,33.89028682
0,28243124,753619.742,3753377.72,296.56,0.122,0.11965,29.578,62622.12143,-84.25756734,33.89029021
0,28243125,753619.78,3753377.657,296.261,0.102,0.10936,29.622,62622.12146,-84.25756694,33.89028964
0,28243126,753619.807,3753377.618,295.959,0.055,0.09907,29.642,62622.12149,-84.25756667,33.89028928
0,28243127,753619.892,3753377.463,295.666,0.063,0.08878,29.796,62622.12152,-84.25756579,33.89028786
0,28243128,753619.887,3753377.486,295.357,0.114,0.07849,29.752,62622.12156,-84.25756584,33.89028807
0,28243129,753619.863,3753377.546,295.048,0.165,0.0682,29.67,62622.12159,-84.25756607,33.89028862
0,28243130,753619.849,3753377.588,294.74,0.796,0.05791,29.612,62622.12162,-84.25756622,33.890289
0,28243131,753619.869,3753377.562,294.436,0.827,0.04762,29.632,62622.12165,-84.25756601,33.89028876
0,28243132,753619.875,3753377.563,294.131,0.824,0.03733,29.626,62622.12169,-84.25756594,33.89028877
0,28243133,753619.883,3753377.56,293.827,0.827,0.02703,29.627,62622.12172,-84.25756585,33.89028874
0,28243134,753619.884,3753377.573,293.522,0.82,0.01674,29.614,62622.12175,-84.25756585,33.89028886
0,28243135,753619.893,3753377.569,293.217,0.757,0.00645,29.623,62622.12178,-84.25756575,33.89028882
0,28243136,753619.911,3753377.546,292.912,0.161,-0.00384,29.656,62622.12182,-84.25756556,33.89028861
0,28243137,753619.958,3753377.468,292.604,0.125,-0.01413,29.754,62622.12185,-84.25756508,33.89028789
0,28243138,753619.946,3753377.504,292.299,0.086,-0.02442,29.727,62622.12188,-84.2575652,33.89028822
0,28243139,753619.924,3753377.562,291.996,0.031,-0.03471,29.679,62622.12192,-84.25756542,33.89028875
0,28243205,753619.859,3753377.765,296.533,0.141,0.11975,29.284,62622.13473,-84.25756606,33.89029059
0,28243206,753619.898,3753377.701,296.237,0.11,0.10946,29.329,62622.13477,-84.25756566,33.89029001
0,28243207,753619.917,3753377.675,295.937,0.075,0.09917,29.334,62622.1348,-84.25756546,33.89028977
0,28243208,753619.903,3753377.717,295.631,0.067,0.08888,29.267,62622.13483,-84.2575656,33.89029015
0,28243209,753619.97,3753377.597,295.338,0.118,0.07859,29.384,62622.13487,-84.25756491,33.89028906
0,28243210,753619.98,3753377.591,295.036,0.18,0.0683,29.377,62622.1349,-84.2575648,33.89028899
0,28243211,753619.967,3753377.631,294.732,0.808,0.05801,29.321,62622.13493,-84.25756493,33.89028936
0,28243212,753619.966,3753377.645,294.429,0.839,0.04772,29.297,62622.13496,-84.25756493,33.89028948
0,28243213,753619.981,3753377.628,294.128,0.835,0.03743,29.31,62622.135,-84.25756478,33.89028933
0,28243214,753619.976,3753377.652,293.827,0.839,0.02714,29.282,62622.13503,-84.25756482,33.89028954
0,28243215,753619.985,3753377.648,293.525,0.804,0.01684,29.287,62622.13506,-84.25756473,33.89028951
0,28243216,753619.986,3753377.659,293.224,0.749,0.00655,29.279,62622.13509,-84.25756472,33.89028961
0,28243217,753620.014,3753377.617,292.922,0.227,-0.00374,29.333,62622.13513,-84.25756443,33.89028922
0,28243218,753620.015,3753377.628,292.62,0.208,-0.01403,29.331,62622.13516,-84.25756441,33.89028932
0,28243219,753620.028,3753377.615,292.317,0.2,-0.02432,29.359,62622.13519,-84.25756427,33.8902892
0,28243220,753620.034,3753377.617,292.015,0.184,-0.03461,29.374,62622.13522,-84.25756421,33.89028922
0,28243287,753620.022,3753377.731,296.209,0.098,0.10936,29.052,62622.14807,-84.2575643,33.89029024
0,28243288,753620.055,3753377.678,295.914,0.09,0.09907,29.087,62622.14811,-84.25756396,33.89028976
0,28243289,753620.09,3753377.624,295.619,0.094,0.08878,29.129,62622.14814,-84.25756361,33.89028926
0,28243290,753620.086,3753377.645,295.317,0.122,0.07849,29.088,62622.14817,-84.25756364,33.89028945
0,28243291,753620.06,3753377.709,295.014,0.165,0.0682,29.001,62622.1482,-84.25756391,33.89029004
0,28243292,753620.064,3753377.715,294.715,0.808,0.05791,28.984,62622.14824,-84.25756386,33.89029009
0,28243293,753620.067,3753377.721,294.417,0.839,0.04762,28.969,62622.14827,-84.25756382,33.89029014
0,28243294,753620.073,3753377.723,294.119,0.851,0.03732,28.961,62622.1483,-84.25756376,33.89029017
0,28243295,753620.079,3753377.723,293.821,0.859,0.02703,28.959,62622.14834,-84.25756369,33.89029016
0,28243296,753620.085,3753377.725,293.523,0.855,0.01674,28.958,62622.14837,-84.25756363,33.89029018
0,28243297,753620.096,3753377.717,293.225,0.765,0.00645,28.971,62622.1484,-84.25756352,33.8902901
0,28243298,753620.126,3753377.671,292.925,0.161,-0.00384,29.03,62622.14843,-84.25756321,33.89028968
0,28243299,753620.161,3753377.615,292.625,0.122,-0.01413,29.103,62622.14847,-84.25756284,33.89028917
0,28243300,753620.13,3753377.688,292.328,0.102,-0.02442,29.035,62622.1485,-84.25756315,33.89028983
